nome,origem,historia,pokemons_usados,insignias_ou_titulos,habilidades,familia,aparicoes
"Belottex, São Paulo, ""Melhor treinador de pokemon e multi esportista do mundo"", Ganha só usando seu mega Pikachu"
"Ash Ketchum,Pallet Town,""Treinador protagonista que viaja por diversas regiões buscando se tornar um Mestre Pokémon."",""Pikachu; Charizard; Greninja; Sceptile; Infernape; Lucario; Dragonite; Gengar; Snorlax; entre outros."",""Campeão da Liga Alola; Vencedor do Torneio Mundial Pokémon"",""Aura parcial; vínculo especial com Greninja"",""Mãe: Delia Ketchum; Pai não revelado"",""Séries principais do anime; filmes"""
"Misty,Cerulean City,""Líder de Ginásio de Cerulean e companheira de Ash nas primeiras jornadas."",""Staryu; Starmie; Psyduck; Togepi/Togetic; Gyarados"",""Líder de Ginásio de Cerulean"",""Especialista em Pokémon aquáticos"",""Irmãs: Daisy, Lily e Violet"",""Kanto; Laranjas; Johto; aparições especiais"""
"Brock,Pewter City,""Líder de Ginásio de Pewter e cuidador experiente, viaja com Ash por várias regiões."",""Onix; Steelix; Croagunk; Geodude; Ludicolo; Vulpix"",""Líder de Ginásio de Pewter"",""Grande conhecimento médico e de criação Pokémon"",""Família numerosa com vários irmãos"",""Kanto; Laranjas; Johto; Hoenn; Sinnoh"""
"Tracey Sketchit,Ilhas Laranja,""Observador Pokémon que acompanha Ash nas Ilhas Laranja."",""Marill; Venonat; Scyther"",""Nenhum"",""Habilidade de observação e desenho"",""Não revelado"",""Ilhas Laranja"""
"May,Petalburg City,""Treinadora e Coordenadora Pokémon que viaja com Ash em Hoenn."",""Torchic/Combusken/Blaziken; Beautifly; Skitty; Munchlax; Bulbasaur"",""Finalista do Grande Festival de Kanto"",""Especialista em Contests"",""Pais: Norman e Caroline; Irmão: Max"",""Hoenn; Kanto"""
"Max,Petalburg City,""Irmão de May, acompanha Ash e o grupo, apesar de não ter Pokémon."",""Nenhum próprio"",""Nenhum"",""Grande conhecimento teórico"",""Pais: Norman e Caroline; Irmã: May"",""Hoenn; Kanto"""
"Dawn,Twinleaf Town,""Coordenadora Pokémon e companheira de Ash em Sinnoh."",""Piplup; Buneary; Pachirisu; Mamoswine; Quilava; Togekiss"",""Finalista do Grande Festival de Sinnoh"",""Especialista em Contests"",""Mãe: Johanna"",""Sinnoh; aparições especiais"""
"Iris,Dragon Village,""Treinadora de dragões e futura Campeã de Unova."",""Axew; Dragonite; Excadrill; Haxorus"",""Campeã de Unova (no futuro)"",""Especialista em Pokémon dragão"",""Não revelado"",""Unova; Jornadas"""
"Cilan,Striaton City,""Sommelier Pokémon e Líder de Ginásio de Striaton."",""Pansage; Crustle; Stunfisk"",""Líder de Ginásio de Striaton"",""Sommelier Pokémon (avaliador de compatibilidade)"",""Irmãos: Chili e Cress"",""Unova"""
"Serena,Vaniville Town,""Treinadora e Performer Pokémon, tem laços com Ash desde a infância."",""Fennekin/Braixen/Delphox; Pancham; Sylveon"",""Finalista do Showcase Master Class"",""Performer Pokémon"",""Mãe: Grace"",""Kalos"""
"Clemont,Lumiose City,""Líder de Ginásio de Lumiose e inventor."",""Bunnelby; Chespin; Luxray"",""Líder de Ginásio de Lumiose"",""Grande habilidade tecnológica"",""Irmã: Bonnie"",""Kalos"""
"Bonnie,Lumiose City,""Irmã mais nova de Clemont, acompanha o grupo."",""Nenhum próprio"",""Nenhum"",""Cuida de Pokémon pequenos"",""Irmão: Clemont"",""Kalos"""
"Lillie,Aether Paradise,""Estudante e companheira de Ash em Alola, inicialmente incapaz de tocar Pokémon."",""Snowy (Vulpix de Alola)"",""Nenhum"",""Superação de trauma com Pokémon"",""Mãe: Lusamine; Irmão: Gladion"",""Alola"""
"Kiawe,Akala Island,""Treinador de fogo e estudante da Escola Pokémon."",""Turtonator; Marowak de Alola; Charizard"",""Nenhum"",""Especialista em Pokémon de fogo"",""Família de fazendeiros"",""Alola"""
"Mallow,Akala Island,""Cozinheira e estudante da Escola Pokémon."",""Steenee/Tsareena; Bounsweet"",""Nenhum"",""Culinária Pokémon"",""Pai dono de restaurante"",""Alola"""
"Lana,Akala Island,""Treinadora aquática e estudante da Escola Pokémon."",""Popplio/Brionne/Primarina"",""Nenhum"",""Especialista em Pokémon aquáticos"",""Família de pescadores"",""Alola"""
"Sophocles,Akala Island,""Estudante focado em tecnologia."",""Togedemaru; Vikavolt"",""Nenhum"",""Habilidade tecnológica"",""Pais não revelados"",""Alola"""
"Goh,Verdegrine Town,""Treinador que busca capturar todos os Pokémon, incluindo Mew."",""Cinderace; Grookey; Flygon; Suicune (temporariamente)"",""Nenhum"",""Extrema habilidade de captura"",""Pais não revelados"",""Jornadas"""
"Chloe,Verdegrine Town,""Amiga de Goh que começa a se interessar por Pokémon."",""Eevee"",""Nenhum"",""Nenhum"",""Pais: Professor Cerise e Talia"",""Jornadas"""
"Gary Oak,Pallet Town,""Rival de infância de Ash, neto do Professor Oak, começa arrogante e evolui para pesquisador."",""Blastoise; Umbreon; Arcanine; Electivire; Nidoking; Dodrio"",""Ex-treinador de Ligas; Pesquisador Pokémon"",""Conhecimento avançado; estratégia"",""Avô: Professor Oak"",""Kanto; Johto; aparições especiais"""
"Ritchie,Fuchsia City,""Treinador amigável e habilidoso, rival de Ash na Liga Indigo."",""Pikachu (Sparky); Butterfree (Happy); Charmander (Zippo)"",""Participante da Liga Indigo"",""Treinamento disciplinado"",""Não revelado"",""Kanto; aparições especiais"""
"Paul,Veilstone City,""Rival mais duro de Ash em Sinnoh, focado em força e resultados."",""Torterra; Electivire; Ursaring; Honchkrow; Drapion"",""Participante da Liga Sinnoh"",""Treinamento extremo; análise fria"",""Irmão: Reggie"",""Sinnoh"""
"Barry,Twinleaf Town,""Treinador hiperativo e rival secundário de Ash em Sinnoh."",""Empoleon; Roserade; Heracross"",""Participante da Liga Sinnoh"",""Velocidade e impulsividade"",""Pai: Palmer"",""Sinnoh"""
"Trip,Nuvema Town,""Rival de Ash em Unova, inspirado no Campeão Alder."",""Snivy/Servine; Tranquill; Lampent; Conkeldurr"",""Participante da Liga Unova"",""Fotografia; análise tática"",""Não revelado"",""Unova"""
"Cameron,Mistralton City,""Treinador despreocupado e confiante, rival de Ash na Liga Unova."",""Lucario; Ferrothorn; Swanna; Samurott"",""Participante da Liga Unova"",""Intuição"",""Não revelado"",""Unova"""
"Sawyer,Hoenn,""Treinador estudioso que admira Ash e se torna seu rival."",""Grovyle/Sceptile; Slurpuff; Aegislash"",""Participante da Liga Kalos"",""Análise estratégica; estudo"",""Não revelado"",""Kalos"""
"Alain,Kalos,""Treinador extremamente forte, rival temporário de Ash, usuário de Mega Charizard X."",""Charizard (Mega X); Metagross; Bisharp; Unfezant; Weavile"",""Campeão da Liga Kalos (anime)"",""Mega Evolução"",""Trabalhou com Lysandre"",""Kalos"""
"Gladion,Aether Paradise,""Rival de Ash em Alola, irmão de Lillie, focado em força e independência."",""Lycanroc; Umbreon; Silvally; Zoroark"",""Participante da Liga Alola"",""Uso de Silvally; disciplina"",""Mãe: Lusamine; Irmã: Lillie"",""Alola"""
"Hau,Alola,""Rival amigável de Ash na Liga Alola."",""Decidueye; Crabrawler; Raichu de Alola"",""Participante da Liga Alola"",""Estilo relaxado"",""Avô: Hala"",""Alola"""
"Bea,Galar,""Lutadora especialista em Pokémon do tipo Lutador, rival de Ash em Jornadas."",""Grapploct; Machamp; Hawlucha"",""Líder de Ginásio de Galar"",""Disciplina marcial"",""Não revelado"",""Jornadas"""
"Rinto,Galar,""Treinador especialista em Gallade, rival de Ash em Jornadas."",""Gallade"",""Nenhum"",""Técnicas de espada e precisão"",""Não revelado"",""Jornadas"""
"Brock,Pewter City,""Líder de Pewter, viaja com Ash e depois retorna ao ginásio."",""Onix; Geodude; Steelix; Croagunk"",""Líder de Ginásio de Pewter"",""Conhecimento médico e de criação"",""Família numerosa"",""Kanto; Johto; Hoenn; Sinnoh"""
"Misty,Cerulean City,""Líder de Cerulean, viaja com Ash e retorna ao ginásio."",""Staryu; Starmie; Psyduck; Gyarados"",""Líder de Ginásio de Cerulean"",""Especialista em Pokémon aquáticos"",""Irmãs Daisy, Lily e Violet"",""Kanto; Johto; especiais"""
"Lt. Surge,Vermilion City,""Líder militarista especializado em elétricos."",""Raichu; Electabuzz"",""Líder de Ginásio de Vermilion"",""Treinamento intensivo"",""Não revelado"",""Kanto"""
"Erika,Celadon City,""Líder calma e educada, especialista em Pokémon planta."",""Vileplume; Tangela; Gloom"",""Líder de Ginásio de Celadon"",""Aromaterapia"",""Não revelado"",""Kanto"""
"Sabrina,Saffron City,""Líder psíquica com poderes reais de telecinese."",""Kadabra; Alakazam; Haunter (temporário)"",""Líder de Ginásio de Saffron"",""Poderes psíquicos"",""Pais não revelados"",""Kanto"""
"Koga,Fuchsia City,""Líder ninja especialista em veneno."",""Venonat; Golbat"",""Líder de Ginásio de Fuchsia"",""Técnicas ninja"",""Irmã: Aya"",""Kanto"""
"Blaine,Cinnabar Island,""Líder de fogo, cientista e enigmático."",""Magmar; Rhydon"",""Líder de Ginásio de Cinnabar"",""Estratégia avançada"",""Não revelado"",""Kanto"""
"Giovanni,Viridian City,""Líder de Viridian e chefe da Equipe Rocket."",""Persian; Mewtwo (no passado)"",""Líder de Ginásio de Viridian"",""Comando e manipulação"",""Não revelado"",""Kanto"""
"Falkner,Violet City,""Líder de Johto especializado em Pokémon voadores."",""Pidgeot; Hoothoot"",""Líder de Ginásio de Violet"",""Treinamento aéreo"",""Pai: Líder anterior"",""Johto"""
"Bugsy,Azalea Town,""Líder jovem especialista em insetos."",""Scyther; Metapod; Spinarak"",""Líder de Ginásio de Azalea"",""Conhecimento entomológico"",""Não revelado"",""Johto"""
"Whitney,Goldenrod City,""Líder famosa por seu Miltank poderoso."",""Miltank; Clefairy"",""Líder de Ginásio de Goldenrod"",""Carisma"",""Não revelado"",""Johto"""
"Morty,Ecruteak City,""Líder espiritual especializado em fantasmas."",""Gengar; Gastly; Haunter"",""Líder de Ginásio de Ecruteak"",""Percepção espiritual"",""Não revelado"",""Johto"""
"Chuck,Cianwood City,""Líder lutador focado em força física."",""Poliwrath; Machoke"",""Líder de Ginásio de Cianwood"",""Treinamento físico extremo"",""Esposa não nomeada"",""Johto"""
"Jasmine,Olivine City,""Líder gentil especializada em aço."",""Steelix; Magnemite"",""Líder de Ginásio de Olivine"",""Cuidado com Pokémon feridos"",""Não revelado"",""Johto"""
"Pryce,Mahogany Town,""Líder idoso especialista em gelo."",""Piloswine; Dewgong"",""Líder de Ginásio de Mahogany"",""Experiência e disciplina"",""Não revelado"",""Johto"""
"Roxanne,Rustboro City,""Líder estudiosa e professora da Academia Pokémon."",""Geodude; Nosepass"",""Líder de Ginásio de Rustboro"",""Educação Pokémon"",""Não revelado"",""Hoenn"""
"Brawly,Dewford Town,""Líder surfista especializado em lutadores."",""Hariyama; Makuhita"",""Líder de Ginásio de Dewford"",""Treinamento físico"",""Não revelado"",""Hoenn"""
"Wattson,Mauville City,""Líder elétrico alegre e brincalhão."",""Manectric; Magneton"",""Líder de Ginásio de Mauville"",""Engenharia elétrica"",""Não revelado"",""Hoenn"""
"Flannery,Lavaridge Town,""Líder de fogo inexperiente mas dedicada."",""Torkoal; Slugma"",""Líder de Ginásio de Lavaridge"",""Determinação"",""Avô: ex-líder"",""Hoenn"""
"Norman,Petalburg City,""Líder de Normal e pai de May e Max."",""Slaking; Vigoroth"",""Líder de Ginásio de Petalburg"",""Treinamento equilibrado"",""Esposa Caroline; filhos May e Max"",""Hoenn"""
"Winona,Fortree City,""Líder elegante especializada em voadores."",""Altaria; Swellow"",""Líder de Ginásio de Fortree"",""Voo acrobático"",""Não revelado"",""Hoenn"""
"Tate e Liza,Mossdeep City,""Líderes gêmeos especialistas em psíquicos."",""Solrock; Lunatone"",""Líderes de Ginásio de Mossdeep"",""Sincronização dupla"",""Não revelado"",""Hoenn"""
"Juan,Sootopolis City,""Líder de água e ex-professor de Wallace."",""Milotic; Seaking"",""Líder de Ginásio de Sootopolis"",""Elegância aquática"",""Não revelado"",""Hoenn"""
"Roark,Oreburgh City,""Líder de Sinnoh especializado em rocha."",""Cranidos; Onix"",""Líder de Ginásio de Oreburgh"",""Mineração"",""Pai: Byron"",""Sinnoh"""
"Gardenia,Eterna City,""Líder alegre especialista em planta."",""Roserade; Turtwig"",""Líder de Ginásio de Eterna"",""Empatia com plantas"",""Não revelado"",""Sinnoh"""
"Maylene,Veilstone City,""Líder lutadora determinada."",""Lucario; Meditite"",""Líder de Ginásio de Veilstone"",""Treinamento marcial"",""Não revelado"",""Sinnoh"""
"Crasher Wake,Pastoria City,""Líder extravagante especialista em água."",""Floatzel; Quagsire"",""Líder de Ginásio de Pastoria"",""Força física"",""Não revelado"",""Sinnoh"""
"Fantina,Hearthome City,""Líder fantasma e dançarina."",""Drifblim; Mismagius"",""Líder de Ginásio de Hearthome"",""Dança e estilo"",""Não revelado"",""Sinnoh"""
"Byron,Canalave City,""Líder de aço e pai de Roark."",""Bastiodon; Steelix"",""Líder de Ginásio de Canalave"",""Mineração"",""Filho: Roark"",""Sinnoh"""
"Candice,Snowpoint City,""Líder de gelo animada."",""Abomasnow; Sneasel"",""Líder de Ginásio de Snowpoint"",""Treinamento no frio"",""Não revelado"",""Sinnoh"""
"Volkner,Sunyshore City,""Líder elétrico desmotivado até enfrentar Ash."",""Luxray; Electivire"",""Líder de Ginásio de Sunyshore"",""Engenharia elétrica"",""Amigo: Flint"",""Sinnoh"""
"Cilan,Striaton City,""Líder de Unova e sommelier Pokémon."",""Pansage"",""Líder de Ginásio de Striaton"",""Sommelier Pokémon"",""Irmãos Chili e Cress"",""Unova"""
"Chili,Striaton City,""Líder de fogo e irmão de Cilan."",""Pansear"",""Líder de Ginásio de Striaton"",""Energia explosiva"",""Irmãos Cilan e Cress"",""Unova"""
"Cress,Striaton City,""Líder de água e irmão de Cilan."",""Panpour"",""Líder de Ginásio de Striaton"",""Calma estratégica"",""Irmãos Cilan e Chili"",""Unova"""
"Lenora,Nacrene City,""Líder de Normal e curadora de museu."",""Watchog; Herdier"",""Líder de Ginásio de Nacrene"",""Conhecimento histórico"",""Marido: Hawes"",""Unova"""
"Burgh,Castelia City,""Líder artista especializado em insetos."",""Leavanny; Dwebble"",""Líder de Ginásio de Castelia"",""Arte e criatividade"",""Não revelado"",""Unova"""
"Elesa,Nimbasa City,""Líder modelo e especialista em elétricos."",""Zebstrika; Emolga"",""Líder de Ginásio de Nimbasa"",""Carisma e estilo"",""Não revelado"",""Unova"""
"Clay,Driftveil City,""Líder empresário especializado em terra."",""Excadrill; Palpitoad"",""Líder de Ginásio de Driftveil"",""Negócios"",""Não revelado"",""Unova"""
"Skyla,Mistralton City,""Líder piloto especializada em voadores."",""Swanna; Unfezant"",""Líder de Ginásio de Mistralton"",""Pilotagem"",""Não revelado"",""Unova"""
"Brycen,Icirrus City,""Líder de gelo e ex-ator."",""Beartic; Vanillish"",""Líder de Ginásio de Icirrus"",""Artes marciais"",""Não revelado"",""Unova"""
"Drayden,Opelucid City,""Líder dragão e mentor de Iris."",""Haxorus; Druddigon"",""Líder de Ginásio de Opelucid"",""Treinamento dragão"",""Não revelado"",""Unova"""
"Roxie,Virbank City,""Líder roqueira especializada em veneno."",""Garbodor; Koffing"",""Líder de Ginásio de Virbank"",""Música punk"",""Pai: capitão de navio"",""Unova"""
"Viola,Santalune City,""Líder fotógrafa especializada em insetos."",""Vivillon; Surskit"",""Líder de Ginásio de Santalune"",""Fotografia"",""Irmã: Alexa"",""Kalos"""
"Grant,Cyllage City,""Líder atleta especializado em rocha."",""Tyrunt; Amaura"",""Líder de Ginásio de Cyllage"",""Escalada"",""Não revelado"",""Kalos"""
"Korrina,Shalour City,""Líder lutadora e usuária de Mega Lucario."",""Lucario; Hawlucha"",""Líder de Ginásio de Shalour"",""Mega Evolução"",""Avô: Gurkinn"",""Kalos"""
"Ramos,Coumarine City,""Líder idoso especializado em planta."",""Gogoat; Jumpluff"",""Líder de Ginásio de Coumarine"",""Jardinagem"",""Não revelado"",""Kalos"""
"Clemont,Lumiose City,""Líder elétrico e inventor."",""Luxray; Heliolisk"",""Líder de Ginásio de Lumiose"",""Tecnologia"",""Irmã: Bonnie"",""Kalos"""
"Valerie,Laverre City,""Líder fada com estilo único."",""Sylveon; Spritzee"",""Líder de Ginásio de Laverre"",""Costura e moda"",""Não revelado"",""Kalos"""
"Olympia,Anistar City,""Líder psíquica com visão do futuro."",""Meowstic (dupla)"",""Líder de Ginásio de Anistar"",""Premonição"",""Não revelado"",""Kalos"""
"Wulfric,Snowbelle City,""Líder de gelo forte e experiente."",""Avalugg; Bergmite"",""Líder de Ginásio de Snowbelle"",""Treinamento no frio"",""Não revelado"",""Kalos"""
"Ilima,Alola,""Capitão de prova e especialista em Normal."",""Kangaskhan; Smeargle"",""Capitão de Prova"",""Técnica refinada"",""Família rica"",""Alola"""
"Lana,Alola,""Capitã de prova especializada em água."",""Primarina"",""Capitã de Prova"",""Pesca"",""Família de pescadores"",""Alola"""
"Kiawe,Alola,""Capitão de prova especializado em fogo."",""Turtonator; Marowak"",""Capitão de Prova"",""Dança do fogo"",""Família de fazendeiros"",""Alola"""
"Mallow,Alola,""Capitã de prova especializada em planta."",""Tsareena"",""Capitã de Prova"",""Culinária"",""Pai dono de restaurante"",""Alola"""
"Sophocles,Alola,""Capitão de prova especializado em elétricos."",""Togedemaru; Vikavolt"",""Capitão de Prova"",""Tecnologia"",""Pais não revelados"",""Alola"""
"Nanu,Ula'ula Island,""Kahuna de Ula'ula, especialista em trevas."",""Persian de Alola"",""Kahuna"",""Estratégia defensiva"",""Não revelado"",""Alola"""
"Hapu,Poni Island,""Kahuna de Poni, especialista em terra."",""Mudsdale"",""Kahuna"",""Força e disciplina"",""Avô falecido"",""Alola"""
"Milo,Galar,""Líder de planta forte e gentil."",""Eldegoss"",""Líder de Ginásio de Turffield"",""Força física"",""Não revelado"",""Galar"""
"Nessa,Galar,""Líder de água e modelo."",""Drednaw; Goldeen"",""Líder de Ginásio de Hulbury"",""Carisma"",""Pais pescadores"",""Galar"""
"Kabu,Galar,""Líder de fogo experiente."",""Centiskorch; Ninetales"",""Líder de Ginásio de Motostoke"",""Treinamento intenso"",""Não revelado"",""Galar"""
"Bea,Galar,""Líder lutadora disciplinada."",""Machamp; Grapploct"",""Líder de Ginásio de Stow-on-Side"",""Artes marciais"",""Não revelado"",""Galar"""
"Opal,Galar,""Líder fada idosa e exigente."",""Alcremie"",""Líder de Ginásio de Ballonlea"",""Teste de personalidade"",""Não revelado"",""Galar"""
"Allister,Galar,""Líder fantasma tímido."",""Gengar; Yamask"",""Líder de Ginásio de Stow-on-Side"",""Conexão com espíritos"",""Não revelado"",""Galar"""
"Gordie,Galar,""Líder de rocha confiante."",""Coalossal"",""Líder de Ginásio de Circhester"",""Força"",""Mãe: Melony"",""Galar"""
"Melony,Galar,""Líder de gelo e mãe de Gordie."",""Lapras; Frosmoth"",""Líder de Ginásio de Circhester"",""Treinamento no gelo"",""Filho: Gordie"",""Galar"""
"Piers,Galar,""Líder de trevas e irmão de Marnie."",""Obstagoon; Scrafty"",""Líder de Ginásio de Spikemuth"",""Canto e estratégia"",""Irmã: Marnie"",""Galar"""
